index	cost	
1790	480	
1791	488	
1792	127	
1793	309	
1794	410	
1795	406	
1796	692	
1797	584	
1798	840	
1799	514	
1800	275	
1801	288	
1802	647	
1803	500	
1804	592	
1805	346	
1806	640	
1807	902	
1808	531	
1809	1047	
1810	1130	
1811	1001	
1812	1328	
1813	534	
1814	638	
1815	906	
1816	277	
1817	623	
1818	351	
1819	803	
1820	629	
1821	359	
1822	618	
1823	777	
1824	722	
1825	826	
1826	307	
1827	358	
1828	374	
1829	803	
1830	816	
1831	299	
1832	110	
1833	572	
1834	632	
1835	535	
1836	761	
1837	862	
1838	856	
1839	856	
1840	736	
1841	827	
1842	675	
1843	400	
1844	843	
1845	530	
1846	1131	
1847	363	
1848	428	
1849	823	
1850	397	
1851	687	
1852	697	
1853	535	
1854	265	
1855	514	
1856	746	
1857	823	
1858	649	
1859	1026	
1860	532	
1861	1165	
1862	217	
1863	755	
1864	1155	
1865	1376	
1866	533	
1867	338	
1868	367	
1869	633	
1870	661	
1871	760	
1872	400	
1873	1291	
1874	1771	
1875	468	
1876	746	
1877	319	
1878	362	
1879	517	
1880	780	
1881	336	
1882	1085	
1883	956	
1884	459	
1885	946	
1886	816	
1887	259	
1888	397	
1889	369	
1890	799	
1891	709	
1892	590	
1893	621	
1894	522	
1895	373	
1896	721	
1897	511	
1898	509	
1899	829	
1900	452	
1901	452	
1902	815	
1903	736	
1904	230	
1905	860	
1906	152	
1907	570	
1908	812	
1909	1011	
1910	686	
1911	629	
1912	151	
1913	524	
1914	434	
1915	592	
1916	418	
1917	695	
1918	993	
1919	1034	
1920	955	
1921	890	
1922	1574	
1923	269	
1924	488	
1925	306	
1926	648	
1927	401	
1928	928	
1929	844	
1930	884	
1931	887	
1932	537	
1933	913	
1934	668	
1935	1391	
1936	439	
1937	251	
1938	661	
1939	460	
1940	421	
1941	1113	
1942	201	
1943	325	
1944	668	
1945	909	
1946	865	
1947	573	
1948	872	
1949	1251	
1950	363	
1951	712	
1952	789	
1953	278	
1954	280	
1955	717	
1956	495	
1957	691	
1958	814	
1959	573	
1960	686	
1961	471	
1962	561	
1963	552	
1964	318	
1965	659	
1966	463	
1967	407	
1968	419	
1969	822	
1970	269	
1971	1041	
1972	1294	
1973	274	
1974	594	
1975	476	
1976	804	
1977	537	
1978	1132	
1979	464	
1980	594	
1981	900	
1982	1695	
1983	739	
1984	933	
1985	836	
1986	707	
1987	357	
1988	463	
1989	576	
1990	587	
1991	590	
1992	1010	
1993	492	
1994	778	
1995	1073	
1996	576	
1997	969	
1998	1419	
1999	1213	
2000	667	
2001	469	
2002	729	
2003	518	
2004	1074	
2005	738	
2006	382	
2007	1031	
2008	576	
2009	354	
2010	655	
2011	395	
2012	516	
2013	607	
2014	228	
2015	455	
2016	815	
2017	1617	
2018	366	
2019	724	
2020	462	
2021	967	
2022	408	
2023	1034	
2024	749	
2025	536	
2026	720	
2027	847	
2028	555	
2029	287	
2030	573	
2031	368	
2032	618	
2033	627	
2034	175	
2035	1014	
2036	470	
2037	615	
2038	1663	
2039	675	
2040	423	
2041	576	
2042	594	
2043	1011	
2044	826	
2045	713	
2046	340	
2047	943	
2048	708	
2049	563	
2050	768	
2051	705	
2052	1310	
2053	792	
2054	360	
2055	866	
2056	693	
2057	1338	
2058	130	
2059	735	
2060	446	
2061	755	
2062	906	
2063	275	
2064	799	
2065	856	
2066	356	
2067	756	
2068	730	
2069	429	
2070	64	
2071	690	
2072	979	
2073	587	
2074	116	
2075	467	
2076	816	
2077	1143	
2078	634	
2079	230	
2080	582	
2081	595	
2082	687	
2083	298	
2084	604	
2085	531	
2086	195	
2087	299	
2088	398	
2089	943	
2090	681	
2091	1360	
2092	595	
2093	685	
2094	607	
2095	1087	
2096	1006	
2097	1503	
2098	291	
2099	1117	
2100	938	
2101	786	
2102	534	
2103	436	
2104	462	
2105	492	
2106	360	
2107	1027	
2108	842	
2109	484	
2110	360	
2111	348	
2112	189	
2113	1208	
2114	412	
2115	553	
2116	489	
2117	786	
2118	932	
2119	1124	
2120	995	
2121	839	
2122	1171	
2123	1152	
2124	729	
2125	773	
2126	406	
2127	1202	
2128	1274	
2129	772	
2130	817	
2131	497	
2132	1411	
2133	765	
2134	481	
2135	458	
2136	553	
2137	920	
2138	803	
2139	539	
2140	677	
2141	1266	
2142	732	
2143	238	
2144	291	
2145	1125	
2146	640	
2147	1310	
2148	819	
2149	296	
2150	1509	
2151	669	
2152	298	
2153	675	
2154	919	
2155	318	
2156	356	
2157	444	
2158	335	
2159	591	
2160	1266	
2161	292	
2162	286	
2163	621	
2164	459	
2165	1272	
2166	810	
2167	1723	
2168	1096	
2169	393	
2170	433	
2171	577	
2172	385	
2173	1140	
2174	857	
2175	381	
2176	880	
2177	482	
2178	793	
2179	570	
2180	774	
2181	1132	
2182	547	
2183	390	
2184	427	
2185	874	
2186	1181	
2187	875	
2188	930	
2189	1129	
2190	923	
2191	652	
2192	271	
2193	182	
2194	931	
2195	857	
2196	888	
2197	313	
2198	752	
2199	612	
2200	689	
2201	493	
2202	1365	
2203	820	
2204	439	
2205	355	
2206	642	
2207	1273	
2208	676	
2209	460	
2210	516	
2211	664	
2212	311	
2213	249	
2214	510	
2215	845	
2216	752	
2217	495	
2218	424	
2219	630	
2220	566	
2221	415	
2222	514	
2223	1078	
2224	703	
2225	890	
2226	496	
2227	830	
2228	536	
2229	470	
2230	735	
2231	584	
2232	662	
2233	619	
2234	1045	
2235	1034	
2236	1048	
2237	705	
2238	180	
2239	348	
2240	1022	
2241	1031	
2242	629	
2243	351	
2244	506	
2245	726	
2246	636	
2247	688	
2248	553	
2249	410	
2250	1213	
2251	434	
2252	537	
2253	313	
2254	645	
2255	459	
2256	1018	
2257	1342	
2258	913	
2259	88	
2260	527	
2261	590	
2262	415	
2263	510	
2264	850	
2265	1440	
2266	1375	
2267	829	
2268	634	
2269	440	
2270	691	
2271	320	
2272	103	
2273	288	
2274	468	
2275	1032	
2276	1338	
2277	662	
2278	434	
2279	76	
2280	227	
2281	872	
2282	451	
2283	621	
2284	836	
2285	567	
2286	635	
2287	767	
2288	1511	
2289	465	
2290	376	
2291	897	
2292	837	
2293	1123	
2294	137	
2295	895	
2296	216	
2297	455	
2298	703	
2299	371	
2300	401	
2301	1061	
2302	1495	
2303	1028	
2304	429	
2305	760	
2306	726	
2307	574	
2308	999	
2309	1251	
2310	898	
2311	840	
2312	228	
2313	386	
2314	747	
2315	787	
2316	853	
2317	1121	
2318	849	
2319	546	
2320	508	
2321	570	
2322	591	
2323	536	
2324	513	
2325	937	
2326	597	
2327	743	
2328	919	
2329	207	
2330	567	
2331	602	
2332	392	
2333	1008	
2334	467	
2335	634	
2336	1045	
2337	408	
2338	1165	
2339	823	
2340	174	
2341	433	
2342	550	
2343	1143	
2344	836	
2345	528	
2346	999	
2347	477	
2348	512	
2349	429	
2350	884	
2351	672	
2352	429	
2353	344	
2354	524	
2355	558	
2356	853	
2357	670	
2358	1015	
2359	111	
2360	579	
2361	364	
2362	1017	
2363	306	
2364	861	
2365	585	
2366	822	
2367	314	
2368	519	
2369	326	
2370	581	
2371	1062	
2372	244	
2373	660	
2374	812	
2375	1045	
2376	333	
2377	432	
2378	414	
2379	477	
2380	703	
2381	910	
2382	536	
2383	777	
2384	802	
2385	707	
2386	769	
2387	977	
2388	480	
2389	735	
2390	283	
2391	1152	
2392	731	
2393	230	
2394	622	
2395	938	
2396	897	
2397	494	
2398	278	
2399	969	
2400	485	
2401	817	
2402	140	
2403	736	
2404	467	
2405	878	
2406	516	
2407	316	
2408	1167	
2409	757	
2410	323	
2411	381	
2412	791	
2413	878	
2414	1171	
2415	614	
2416	781	
2417	1369	
2418	977	
2419	1204	
2420	562	
2421	358	
2422	408	
2423	312	
2424	1038	
2425	119	
2426	1081	
2427	966	
2428	470	
2429	301	
2430	729	
2431	716	
2432	506	
2433	785	
2434	235	
